               0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      93      94      95      96      97      98      99     100     101     102     103     104     105     106     107     108     109     110     111     112     113     114     115     116     117     118     119     120     121     122     123     124     125     126     127
      10    -143     132    -133     -12     189    -346     181     165    -163    -217     201      89      21     -54    -172     227      65     -91       0     -49      87      -6     161       0      15      79     -78     -31     -27      63      76      87      48     -33     -15     -47      70     -43      20      24       7      49     -45     -49       2     -10      54       7     -41      43     -43     -55      23     -55      44       6     -48      21      -7       7     -11       2       2      15     -27      -5      16     -46      41       2     -18      33     -14     -12      10      -9       0       8     -41      -6       5      -7       8     -25      -5      -6     -15       8       1     -23      -7       5     -14      14      -6       0      17      -3      11      -7     -15       3      13      10      13       4       0      17       0       8       5     -20     -10      10      14      11       0      -6      -2      -2       4       7       0      -5     -15       1       8       3
      11    -229      55     168    -248      29     -83       2    -136      71     -79     -36     -27     -73    -193     276       3    -249      97     -27     -75     101      -4    -138      44      23       6      23      24     -34      84      -6     -35     -13     -11     103     -12     -10      39     -20      64      -9     -25      22      51      30      15      45      -8      15     -34     -25      49     -16      51      -1       5      89     -75      -3     -11     -28      37     -13       4       0     -20     -10      18     -13      21      21     -17      31       2     -26     -23     -36      12      52      19      24     -12     -27      45     -23      -1      31     -23       4       3      -3      27      14     -21       3      -4     -17      13     -27      -3      15      -5      14      -1     -26       6     -14     -16       9     -18       4      15     -18       5       6     -12       3       1      -9       9     -10      -5      13     -10      14      12     -17      -2
      12      83      53     -68      -6     -52      94      93    -141      81      83     -22     -67      27      94     -81    -133      35      47     222    -177      -4       1      56     -61      85     -56     -31     190    -132       7     -19     -45      91     -42     -13       5       8     -35      61     -52     -29      32     -18      -3       8     -61     -19     -41      -2      55       9      23      -5     -43     -41     -21     -22      13      36      -1      -7     -26       5      32       0      -5      18     -11      27     -17     -14      16     -52       0       7      40      51     -25      -1     -18     -13     -12     -12     -12       3      25       0      21       3     -14     -14     -36       6      27       8      15      -6      -3      19     -11       0      11      -9       9      12       3       1      -1      -3      10      12       5      18     -14     -10       4     -12       6      14      -1       4       1      -9       1      -3      -2       9       5
      13      -3     -30    -150     130      74     -82    -115     -82     137      33    -141      72      65     -58    -127     207     103      50    -114      41      18      61     142    -125      50      68      16      24      90      -1     -17     113     -65      23     112     -13      31     -13     -78      46     -47      45      58      36       5     -13       7     -41      62     -32       7       8     -29      37     -14      -6      15     -21      15      11      12      21     -19     -29     -37      20       0       5      21     -26      18     -15      10      23     -22      13       4      13      -2     -36     -16      14       8       8      37       4     -14     -14     -28     -14      21       8       0      17     -12      -5     -16     -24     -12       0      20       0      -4     -11     -12     -12       0      13       2       1     -17     -10       6      -1      -6      -2       7       7       3       4       3      -9      -7       6       0       0       1      -7
      14     221    -161     -38     -28      30      54     -66     -91     184    -179     -48      65      63    -109      -2     134     -94    -211      35     103      13       0     -17      -2      29      84    -104      -4      14     -53      72     -72      16     -55     -44      21       8      15      14     -50      77     -27     -67      11     -36      45      29     -26     -48      -8      -3      12      50      22      24     -39     -56       7      13      29      30     -32      -3     -19     -16       7      35       9       8      29     -21      -3      -7      -9       2     -20      -8      -2       0      -1      28       5      -3      17     -29      -3     -16     -11      20       2      20       9      -2      -9     -12      -7      14      30       4      18      -8      -7       8       0       5       4      -3      -3       7      -3      10       7      -8       0       2       5       5      -6     -12      -2      -5       2       6      -7       3       0       9      15
      15     -43     113      -6      49     -18      78      37      59       4      -5      53       5     -36     181      94     -53       5       5      96     205     -40     -90     146      19     -15      35      -7     -12      44      45      53     -15       2      34     -32      22     -86      74       1       0     -11     -80      -7     -26      60     -10     -16      27      -1     -28      27     -60     -24      15     -50      37      26     -24     -20     -25      -2      19      22       3      10      -9     -12      -2     -17     -11       6     -34      -3       1      35      49       1      -3     -20       1     -18     -21      26     -19      -1       3       9      15      -4      10     -20       0      -1      -5      -2      -6      -7     -11      10      -3     -14      -8      -8       1       9      -3       0       2      -6       5      -8      -8      -1      -2      10       9       2      -3       4      -7      -4      16       6       6       0      -9     -12      -4
      16     -40     -52     110     -99    -120     133     -47     -69     -33      72      78      16    -172       6     -79     -55      74     123     -39     -80    -125      68      30      93    -146      32      16      35      63    -133      46    -124     160     -51     -17      55     -88      72     -13     -22       6      46      41       0     -15     -75     -13      57     -30      61      -7     -35      42     -87      25      57      13      65     -59     -23      -7     -27      16      -2      24       0      -1       0     -10      -6      -5      45      29      19      -8     -50     -27     -17       4      22       0      24      11       5      -2     -21       7      -8      -7       2      -4       9      -9      -9      15       5       3      11     -18       4      13      -4       8       3     -11       8      12      -5       3      -1      -3       8      -1      10       0     -17       0       0       4      13      -4     -14       0      -2       1       9      -6      -8
      17      87      -9     -24      18      80     -43     100     -48      -8     112       0    -193     207      73     -65       6     137     -97     -27      22      79     155    -208     -14       1     119      -3      -7     -95     -34      31     -27     -19     -15      -7      60     -13    -129     -98      90     -19      25      31    -125       9     -33     -13      26      11      14     -11      16     -35       9      -1     -56     -12      25      50      12     -40     -40     -32      23      54      -1       9     -29     -54      14     -13       0      37     -22     -17      -8     -15      13       1       9      32       0     -33     -21      -4      -8       0      20      13       7      -6       6       0       5      -4     -22       4       2      14       0     -15       8     -13      -5       7      -1      10       2     -11      -4       0       0       2      -7       1      11      -4       0      -3     -11       2       3      -1       6       1       0      10      -7
      18      63      46    -152     -18      81     -44     -23      28     -77      53     -28     -63      23      83      -2     -42      51    -116       9      34     104     -96    -104     229     -63      53    -106     -97     103      18      76     -67      41       2      38     -67     -19      80     -17      33     -63     -12      21      41       7       4       3     -28      16     -23     -11      31     -56      17      68     -20      -1     -24     -54      45      34      28       9     -19     -35     -13      20      11      40      10      -9       2     -32      20      -8       1      59       3      -4     -10     -35      -3      -2      -3      24      13       0      -7       0       2      -7     -14     -21      -7      -7      32       6     -13       4     -20      -7      -2       6      19       7      -3     -19      -1       3       1      -1       7       4       0      -1      -3       0      -8       1       4       5       8      -1      -7      -8       0      -6       2
      19     -65       8     108    -113      79      -7     -16       3      51       7     -20      39     -10    -124     102     -39     -50      44      89     -38     -51     -23     -15     164    -193     -57       3      94     -10     -41     -60       0     -48       9     -59     -76      30      41      30     -35      -1     -50     -63     -10      37      25      40     -44     -64      11     -22      10      46      38     -45      28     -24     -34      32     -59      12      28      10      32     -38     -33     -17      -4      19       0      25      10     -42      -4     -11       9      -1     -12       5      -9      10       2      10      19     -20      14      -1     -11      -1     -16      -6      13      28      24       5     -11     -15       0      -7      18       9     -10      -3      -3       9      13      -3      -9      -5       6      12      -5       0       0     -14      -2       3       3       6       6      -5      -7       0       2      -6      -6      16      13
